"iata_code","iana_tz","windows_tz"
"MBA","Africa/Nairobi","E. Africa Standard Time"
"MBB","Australia/Perth","W. Australia Standard Time"
"MBC","Africa/Libreville","W. Central Africa Standard Time"
"MBD","Africa/Johannesburg","South Africa Standard Time"
"MBE","Asia/Tokyo","Tokyo Standard Time"
"MBG","America/Chicago","Central Standard Time"
"MBH","Australia/Brisbane","E. Australia Standard Time"
"MBI","Africa/Dar_es_Salaam","E. Africa Standard Time"
"MBJ","America/Jamaica","SA Pacific Standard Time"
"MBK","America/Cuiaba","Central Brazilian Standard Time"
"MBL","America/Detroit","Eastern Standard Time"
"MBM","Africa/Johannesburg","South Africa Standard Time"
"MBO","Asia/Manila","Singapore Standard Time"
"MBP","America/Lima","SA Pacific Standard Time"
"MBQ","Africa/Kampala","E. Africa Standard Time"
"MBS","America/Detroit","Eastern Standard Time"
"MBT","Asia/Manila","Singapore Standard Time"
"MBU","Pacific/Guadalcanal","Central Pacific Standard Time"
"MBV","Pacific/Port_Moresby","West Pacific Standard Time"
"MBW","Australia/Melbourne","AUS Eastern Standard Time"
"MBX","Europe/Ljubljana","Central Europe Standard Time"
"MBY","America/Chicago","Central Standard Time"
"MBZ","America/Manaus","SA Western Standard Time"
"MCA","Africa/Conakry","Greenwich Standard Time"
"MCB","America/Chicago","Central Standard Time"
"MCC","America/Los_Angeles","Pacific Standard Time"
"MCD","America/Detroit","Eastern Standard Time"
"MCE","America/Los_Angeles","Pacific Standard Time"
"MCF","America/New_York","Eastern Standard Time"
"MCG","America/Anchorage","Alaskan Standard Time"
"MCI","America/Chicago","Central Standard Time"
"MCJ","America/Bogota","SA Pacific Standard Time"
"MCK","America/Chicago","Central Standard Time"
"MCL","America/Anchorage","Alaskan Standard Time"
"MCM","Europe/Monaco","W. Europe Standard Time"
"MCN","America/New_York","Eastern Standard Time"
"MCO","America/New_York","Eastern Standard Time"
"MCP","America/Belem","SA Eastern Standard Time"
"MCS","America/Argentina/Cordoba","Argentina Standard Time"
"MCT","Asia/Muscat","Arabian Standard Time"
"MCU","Europe/Paris","Romance Standard Time"
"MCV","Australia/Darwin","AUS Central Standard Time"
"MCW","America/Chicago","Central Standard Time"
"MCX","Europe/Moscow","Russian Standard Time"
"MCY","Australia/Brisbane","E. Australia Standard Time"
"MCZ","America/Maceio","SA Eastern Standard Time"
"MDA","America/Chicago","Central Standard Time"
"MDB","America/Belize","Central America Standard Time"
"MDC","Asia/Makassar","Singapore Standard Time"
"MDD","America/Chicago","Central Standard Time"
"MDE","America/Bogota","SA Pacific Standard Time"
"MDF","America/Chicago","Central Standard Time"
"MDG","Asia/Shanghai","China Standard Time"
"MDH","America/Chicago","Central Standard Time"
"MDI","Africa/Lagos","W. Central Africa Standard Time"
"MDJ","America/Los_Angeles","Pacific Standard Time"
"MDK","Africa/Kinshasa","W. Central Africa Standard Time"
"MDL","Asia/Yangon","Myanmar Standard Time"
"MDM","Pacific/Port_Moresby","West Pacific Standard Time"
"MDN","America/Indiana/Indianapolis","US Eastern Standard Time"
"MDO","America/Anchorage","Alaskan Standard Time"
"MDP","Asia/Jayapura","Tokyo Standard Time"
"MDQ","America/Argentina/Buenos_Aires","Argentina Standard Time"
"MDR","Africa/Nairobi","E. Africa Standard Time"
"MDS","America/Grand_Turk","Turks And Caicos Standard Time"
"MDT","America/New_York","Eastern Standard Time"
"MDU","Pacific/Port_Moresby","West Pacific Standard Time"
"MDV","Africa/Libreville","W. Central Africa Standard Time"
"MDW","America/Chicago","Central Standard Time"
"MDX","America/Argentina/Cordoba","Argentina Standard Time"
"MDY","Pacific/Midway","UTC-11"
"MDZ","America/Argentina/Mendoza","Argentina Standard Time"
"MEA","America/Sao_Paulo","E. South America Standard Time"
"MEB","Australia/Melbourne","AUS Eastern Standard Time"
"MEC","America/Guayaquil","SA Pacific Standard Time"
"MED","Asia/Riyadh","Arab Standard Time"
"MEE","Pacific/Noumea","Central Pacific Standard Time"
"MEF","Africa/Ndjamena","W. Central Africa Standard Time"
"MEG","Africa/Luanda","W. Central Africa Standard Time"
"MEH","Europe/Oslo","W. Europe Standard Time"
"MEI","America/Chicago","Central Standard Time"
"MEJ","America/New_York","Eastern Standard Time"
"MEK","Africa/Casablanca","Morocco Standard Time"
"MEL","Australia/Melbourne","AUS Eastern Standard Time"
"MEM","America/Chicago","Central Standard Time"
"MEN","Europe/Paris","Romance Standard Time"
"MEO","America/New_York","Eastern Standard Time"
"MEP","Asia/Kuala_Lumpur","Singapore Standard Time"
"MEQ","Asia/Jakarta","SE Asia Standard Time"
"MER","America/Los_Angeles","Pacific Standard Time"
"MES","Asia/Jakarta","SE Asia Standard Time"
"MET","Australia/Brisbane","E. Australia Standard Time"
"MEU","America/Santarem","SA Eastern Standard Time"
"MEV","America/Los_Angeles","Pacific Standard Time"
"MEW","Africa/Lubumbashi","South Africa Standard Time"
"MEX","America/Mexico_City","Central Standard Time (Mexico)"
"MEY","Asia/Kathmandu","Nepal Standard Time"
"MEZ","Africa/Johannesburg","South Africa Standard Time"
"MFA","Africa/Dar_es_Salaam","E. Africa Standard Time"
"MFB","America/Bogota","SA Pacific Standard Time"
"MFC","Africa/Maseru","South Africa Standard Time"
"MFD","America/New_York","Eastern Standard Time"
"MFE","America/Chicago","Central Standard Time"
"MFF","Africa/Libreville","W. Central Africa Standard Time"
"MFG","Asia/Karachi","Pakistan Standard Time"
"MFH","America/Los_Angeles","Pacific Standard Time"
"MFI","America/Chicago","Central Standard Time"
"MFJ","Pacific/Fiji","Fiji Standard Time"
"MFK","Asia/Taipei","Taipei Standard Time"
"MFL","Australia/Brisbane","E. Australia Standard Time"
"MFM","Asia/Macau","China Standard Time"
"MFN","Pacific/Auckland","New Zealand Standard Time"
"MFO","Pacific/Port_Moresby","West Pacific Standard Time"
"MFP","Australia/Darwin","AUS Central Standard Time"
"MFQ","Africa/Niamey","W. Central Africa Standard Time"
"MFR","America/Los_Angeles","Pacific Standard Time"
"MFS","America/Bogota","SA Pacific Standard Time"
"MFU","Africa/Lusaka","South Africa Standard Time"
"MFV","America/New_York","Eastern Standard Time"
"MFX","Europe/Paris","Romance Standard Time"
"MFZ","Pacific/Port_Moresby","West Pacific Standard Time"
"MGA","America/Managua","Central America Standard Time"
"MGB","Australia/Adelaide","Cen. Australia Standard Time"
"MGC","America/Chicago","Central Standard Time"
"MGD","America/La_Paz","SA Western Standard Time"
"MGE","America/New_York","Eastern Standard Time"
"MGF","America/Sao_Paulo","E. South America Standard Time"
"MGH","Africa/Johannesburg","South Africa Standard Time"
"MGJ","America/New_York","Eastern Standard Time"
"MGK","Asia/Yangon","Myanmar Standard Time"
"MGL","Europe/Berlin","W. Europe Standard Time"
"MGM","America/Chicago","Central Standard Time"
"MGN","America/Bogota","SA Pacific Standard Time"
"MGP","Pacific/Port_Moresby","West Pacific Standard Time"
"MGQ","Africa/Mogadishu","E. Africa Standard Time"
"MGR","America/New_York","Eastern Standard Time"
"MGS","Pacific/Rarotonga","Hawaiian Standard Time"
"MGT","Australia/Darwin","AUS Central Standard Time"
"MGU","Asia/Yangon","Myanmar Standard Time"
"MGV","Australia/Perth","W. Australia Standard Time"
"MGW","America/New_York","Eastern Standard Time"
"MGX","Africa/Libreville","W. Central Africa Standard Time"
"MGY","America/New_York","Eastern Standard Time"
"MGZ","Asia/Yangon","Myanmar Standard Time"
"MHA","America/Guyana","SA Western Standard Time"
"MHB","Pacific/Auckland","New Zealand Standard Time"
"MHC","America/Santiago","Pacific SA Standard Time"
"MHD","Asia/Tehran","Iran Standard Time"
"MHE","America/Chicago","Central Standard Time"
"MHF","America/Bogota","SA Pacific Standard Time"
"MHG","Europe/Berlin","W. Europe Standard Time"
"MHH","America/Nassau","Eastern Standard Time"
"MHI","Africa/Djibouti","E. Africa Standard Time"
"MHK","America/Chicago","Central Standard Time"
"MHL","America/Chicago","Central Standard Time"
"MHN","America/Denver","Mountain Standard Time"
"MHO","Australia/Perth","W. Australia Standard Time"
"MHQ","Europe/Mariehamn","FLE Standard Time"
"MHR","America/Los_Angeles","Pacific Standard Time"
"MHS","America/Los_Angeles","Pacific Standard Time"
"MHT","America/New_York","Eastern Standard Time"
"MHU","Australia/Melbourne","AUS Eastern Standard Time"
"MHV","America/Los_Angeles","Pacific Standard Time"
"MHW","America/La_Paz","SA Western Standard Time"
"MHX","Pacific/Rarotonga","Hawaiian Standard Time"
"MHY","Pacific/Port_Moresby","West Pacific Standard Time"
"MHZ","Europe/London","GMT Standard Time"
"MIA","America/New_York","Eastern Standard Time"
"MIB","America/Chicago","Central Standard Time"
"MID","America/Merida","Central Standard Time (Mexico)"
"MIE","America/Indiana/Indianapolis","US Eastern Standard Time"
"MIF","America/Chicago","Central Standard Time"
"MIG","Asia/Shanghai","China Standard Time"
"MIH","Australia/Perth","W. Australia Standard Time"
"MII","America/Sao_Paulo","E. South America Standard Time"
"MIJ","Pacific/Majuro","UTC+12"
"MIK","Europe/Helsinki","FLE Standard Time"
"MIM","Australia/Sydney","AUS Eastern Standard Time"
"MIN","Australia/Adelaide","Cen. Australia Standard Time"
"MIP","Asia/Jerusalem","Israel Standard Time"
"MIR","Africa/Tunis","W. Central Africa Standard Time"
"MIS","Pacific/Port_Moresby","West Pacific Standard Time"
"MIT","America/Los_Angeles","Pacific Standard Time"
"MIU","Africa/Lagos","W. Central Africa Standard Time"
"MIV","America/New_York","Eastern Standard Time"
"MIY","Australia/Darwin","AUS Central Standard Time"
"MIZ","Australia/Darwin","AUS Central Standard Time"
"MJA","Indian/Antananarivo","E. Africa Standard Time"
"MJB","Pacific/Majuro","UTC+12"
"MJC","Africa/Abidjan","Greenwich Standard Time"
"MJD","Asia/Karachi","Pakistan Standard Time"
"MJE","Pacific/Majuro","UTC+12"
"MJF","Europe/Oslo","W. Europe Standard Time"
"MJG","America/Havana","Cuba Standard Time"
"MJI","Africa/Tripoli","Libya Standard Time"
"MJJ","Pacific/Port_Moresby","West Pacific Standard Time"
"MJK","Australia/Perth","W. Australia Standard Time"
"MJL","Africa/Libreville","W. Central Africa Standard Time"
"MJM","Africa/Lubumbashi","South Africa Standard Time"
"MJN","Indian/Antananarivo","E. Africa Standard Time"
"MJO","Africa/Windhoek","Namibia Standard Time"
"MJP","Australia/Perth","W. Australia Standard Time"
"MJR","America/Argentina/Buenos_Aires","Argentina Standard Time"
"MJS","Africa/Maputo","South Africa Standard Time"
"MJT","Europe/Athens","GTB Standard Time"
"MJU","Asia/Makassar","Singapore Standard Time"
"MJV","Europe/Madrid","Romance Standard Time"
"MJW","Africa/Harare","South Africa Standard Time"
"MJX","America/New_York","Eastern Standard Time"
"MJZ","Asia/Yakutsk","Yakutsk Standard Time"
"MKB","Africa/Libreville","W. Central Africa Standard Time"
"MKC","America/Chicago","Central Standard Time"
"MKE","America/Chicago","Central Standard Time"
"MKG","America/Detroit","Eastern Standard Time"
"MKH","Africa/Maseru","South Africa Standard Time"
"MKI","Africa/Bangui","W. Central Africa Standard Time"
"MKJ","Africa/Brazzaville","W. Central Africa Standard Time"
"MKK","Pacific/Honolulu","Hawaiian Standard Time"
"MKL","America/Chicago","Central Standard Time"
"MKM","Asia/Kuching","Singapore Standard Time"
"MKN","Pacific/Port_Moresby","West Pacific Standard Time"
"MKP","Pacific/Tahiti","Hawaiian Standard Time"
"MKQ","Asia/Jayapura","Tokyo Standard Time"
"MKR","Australia/Perth","W. Australia Standard Time"
"MKS","Africa/Addis_Ababa","E. Africa Standard Time"
"MKU","Africa/Libreville","W. Central Africa Standard Time"
"MKW","Asia/Jayapura","Tokyo Standard Time"
"MKY","Australia/Brisbane","E. Australia Standard Time"
"MKZ","Asia/Kuala_Lumpur","Singapore Standard Time"
"MLA","Europe/Malta","W. Europe Standard Time"
"MLB","America/New_York","Eastern Standard Time"
"MLC","America/Chicago","Central Standard Time"
"MLE","Indian/Maldives","West Asia Standard Time"
"MLG","Asia/Jakarta","SE Asia Standard Time"
"MLI","America/Chicago","Central Standard Time"
"MLK","America/Denver","Mountain Standard Time"
"MLL","America/Anchorage","Alaskan Standard Time"
"MLM","America/Mexico_City","Central Standard Time (Mexico)"
"MLN","Africa/Casablanca","Morocco Standard Time"
"MLO","Europe/Athens","GTB Standard Time"
"MLP","Asia/Manila","Singapore Standard Time"
"MLQ","Pacific/Port_Moresby","West Pacific Standard Time"
"MLR","Australia/Adelaide","Cen. Australia Standard Time"
"MLS","America/Denver","Mountain Standard Time"
"MLU","America/Chicago","Central Standard Time"
"MLV","Australia/Brisbane","E. Australia Standard Time"
"MLW","Africa/Monrovia","Greenwich Standard Time"
"MLX","Europe/Istanbul","Turkey Standard Time"
"MLY","America/Anchorage","Alaskan Standard Time"
"MLZ","America/Montevideo","Montevideo Standard Time"
"MMB","Asia/Tokyo","Tokyo Standard Time"
"MMC","America/Monterrey","Central Standard Time (Mexico)"
"MMD","Asia/Tokyo","Tokyo Standard Time"
"MME","Europe/London","GMT Standard Time"
"MMF","Africa/Douala","W. Central Africa Standard Time"
"MMG","Australia/Perth","W. Australia Standard Time"
"MMH","America/Los_Angeles","Pacific Standard Time"
"MMI","America/New_York","Eastern Standard Time"
"MMJ","Asia/Tokyo","Tokyo Standard Time"
"MMK","Europe/Moscow","Russian Standard Time"
"MML","America/Chicago","Central Standard Time"
"MMM","Australia/Brisbane","E. Australia Standard Time"
"MMO","Atlantic/Cape_Verde","Cape Verde Standard Time"
"MMQ","Africa/Lusaka","South Africa Standard Time"
"MMS","America/Chicago","Central Standard Time"
"MMT","America/New_York","Eastern Standard Time"
"MMU","America/New_York","Eastern Standard Time"
"MMV","Pacific/Port_Moresby","West Pacific Standard Time"
"MMX","Europe/Stockholm","W. Europe Standard Time"
"MMY","Asia/Tokyo","Tokyo Standard Time"
"MMZ","Asia/Kabul","Afghanistan Standard Time"
"MNA","Asia/Makassar","Singapore Standard Time"
"MNB","Africa/Kinshasa","W. Central Africa Standard Time"
"MNC","Africa/Maputo","South Africa Standard Time"
"MND","America/Bogota","SA Pacific Standard Time"
"MNE","Australia/Adelaide","Cen. Australia Standard Time"
"MNF","Pacific/Fiji","Fiji Standard Time"
"MNG","Australia/Darwin","AUS Central Standard Time"
"MNH","Asia/Muscat","Arabian Standard Time"
"MNI","America/Montserrat","SA Western Standard Time"
"MNJ","Indian/Antananarivo","E. Africa Standard Time"
"MNK","Pacific/Tarawa","UTC+12"
"MNL","Asia/Manila","Singapore Standard Time"
"MNM","America/Chicago","Central Standard Time"
"MNN","America/New_York","Eastern Standard Time"
"MNO","Africa/Lubumbashi","South Africa Standard Time"
"MNQ","Australia/Brisbane","E. Australia Standard Time"
"MNR","Africa/Lusaka","South Africa Standard Time"
"MNS","Africa/Lusaka","South Africa Standard Time"
"MNT","America/Anchorage","Alaskan Standard Time"
"MNU","Asia/Yangon","Myanmar Standard Time"
"MNW","Australia/Darwin","AUS Central Standard Time"
"MNX","America/Manaus","SA Western Standard Time"
"MNY","Pacific/Guadalcanal","Central Pacific Standard Time"
"MNZ","America/New_York","Eastern Standard Time"
"MOA","America/Havana","Cuba Standard Time"
"MOB","America/Chicago","Central Standard Time"
"MOC","America/Sao_Paulo","E. South America Standard Time"
"MOD","America/Los_Angeles","Pacific Standard Time"
"MOE","Asia/Yangon","Myanmar Standard Time"
"MOF","Asia/Makassar","Singapore Standard Time"
"MOG","Asia/Yangon","Myanmar Standard Time"
"MOH","Asia/Makassar","Singapore Standard Time"
"MOI","Pacific/Rarotonga","Hawaiian Standard Time"
"MOJ","America/Paramaribo","SA Eastern Standard Time"
"MOK","Asia/Samarkand","West Asia Standard Time"
"MOL","Europe/Oslo","W. Europe Standard Time"
"MOM","Africa/Nouakchott","Greenwich Standard Time"
"MON","Pacific/Auckland","New Zealand Standard Time"
"MOO","Australia/Adelaide","Cen. Australia Standard Time"
"MOQ","Indian/Antananarivo","E. Africa Standard Time"
"MOS","America/Nome","Alaskan Standard Time"
"MOT","America/Chicago","Central Standard Time"
"MOU","America/Nome","Alaskan Standard Time"
"MOV","Australia/Brisbane","E. Australia Standard Time"
"MOY","America/Bogota","SA Pacific Standard Time"
"MOZ","Pacific/Tahiti","Hawaiian Standard Time"
"MPA","Africa/Windhoek","Namibia Standard Time"
"MPB","America/New_York","Eastern Standard Time"
"MPC","Asia/Jakarta","SE Asia Standard Time"
"MPD","Asia/Karachi","Pakistan Standard Time"
"MPF","Pacific/Port_Moresby","West Pacific Standard Time"
"MPG","Pacific/Port_Moresby","West Pacific Standard Time"
"MPH","Asia/Manila","Singapore Standard Time"
"MPI","America/Panama","SA Pacific Standard Time"
"MPJ","America/Chicago","Central Standard Time"
"MPL","Europe/Paris","Romance Standard Time"
"MPM","Africa/Maputo","South Africa Standard Time"
"MPN","Atlantic/Stanley","SA Eastern Standard Time"
"MPO","America/New_York","Eastern Standard Time"
"MPP","America/Panama","SA Pacific Standard Time"
"MPT","Asia/Makassar","Singapore Standard Time"
"MPU","Pacific/Port_Moresby","West Pacific Standard Time"
"MPV","America/New_York","Eastern Standard Time"
"MPW","Europe/Kiev","FLE Standard Time"
"MPX","Pacific/Port_Moresby","West Pacific Standard Time"
"MPY","America/Cayenne","SA Eastern Standard Time"
"MPZ","America/Chicago","Central Standard Time"
"MQA","Australia/Perth","W. Australia Standard Time"
"MQB","America/Chicago","Central Standard Time"
"MQC","America/Miquelon","Saint Pierre Standard Time"
"MQD","America/Argentina/Salta","Argentina Standard Time"
"MQE","Australia/Darwin","AUS Central Standard Time"
"MQF","Asia/Yekaterinburg","Ekaterinburg Standard Time"
"MQG","Africa/Windhoek","Namibia Standard Time"
"MQH","America/Sao_Paulo","E. South America Standard Time"
"MQJ","Asia/Srednekolymsk","Russia Time Zone 10"
"MQK","America/Cuiaba","Central Brazilian Standard Time"
"MQL","Australia/Melbourne","AUS Eastern Standard Time"
"MQM","Europe/Istanbul","Turkey Standard Time"
"MQN","Europe/Oslo","W. Europe Standard Time"
"MQO","Pacific/Port_Moresby","West Pacific Standard Time"
"MQP","Africa/Johannesburg","South Africa Standard Time"
"MQQ","Africa/Ndjamena","W. Central Africa Standard Time"
"MQR","America/Bogota","SA Pacific Standard Time"
"MQS","America/St_Vincent","SA Western Standard Time"
"MQT","America/Detroit","Eastern Standard Time"
"MQU","America/Bogota","SA Pacific Standard Time"
"MQV","Africa/Algiers","W. Central Africa Standard Time"
"MQX","Africa/Addis_Ababa","E. Africa Standard Time"
"MQY","America/Chicago","Central Standard Time"
"MQZ","Australia/Perth","W. Australia Standard Time"
"MRA","Africa/Tripoli","Libya Standard Time"
"MRB","America/New_York","Eastern Standard Time"
"MRC","America/Chicago","Central Standard Time"
"MRD","America/Caracas","Venezuela Standard Time"
"MRE","Africa/Nairobi","E. Africa Standard Time"
"MRF","America/Chicago","Central Standard Time"
"MRG","Australia/Brisbane","E. Australia Standard Time"
"MRH","Pacific/Port_Moresby","West Pacific Standard Time"
"MRI","America/Anchorage","Alaskan Standard Time"
"MRK","America/New_York","Eastern Standard Time"
"MRM","Pacific/Port_Moresby","West Pacific Standard Time"
"MRN","America/New_York","Eastern Standard Time"
"MRO","Pacific/Auckland","New Zealand Standard Time"
"MRP","Australia/Adelaide","Cen. Australia Standard Time"
"MRQ","Asia/Manila","Singapore Standard Time"
"MRR","America/Guayaquil","SA Pacific Standard Time"
"MRS","Europe/Paris","Romance Standard Time"
"MRT","Australia/Darwin","AUS Central Standard Time"
"MRU","Indian/Mauritius","Mauritius Standard Time"
"MRV","Europe/Moscow","Russian Standard Time"
"MRW","Europe/Copenhagen","Romance Standard Time"
"MRX","Asia/Tehran","Iran Standard Time"
"MRY","America/Los_Angeles","Pacific Standard Time"
"MRZ","Australia/Sydney","AUS Eastern Standard Time"
"MSA","America/Rainy_River","Central Standard Time"
"MSB","America/Lower_Princes","SA Western Standard Time"
"MSC","America/Phoenix","US Mountain Standard Time"
"MSF","Australia/Darwin","AUS Central Standard Time"
"MSH","Asia/Muscat","Arabian Standard Time"
"MSI","Asia/Jakarta","SE Asia Standard Time"
"MSJ","Asia/Tokyo","Tokyo Standard Time"
"MSL","America/Chicago","Central Standard Time"
"MSM","Africa/Kinshasa","W. Central Africa Standard Time"
"MSN","America/Chicago","Central Standard Time"
"MSO","America/Denver","Mountain Standard Time"
"MSP","America/Chicago","Central Standard Time"
"MSQ","Europe/Minsk","Belarus Standard Time"
"MSR","Europe/Istanbul","Turkey Standard Time"
"MSS","America/New_York","Eastern Standard Time"
"MST","Europe/Amsterdam","W. Europe Standard Time"
"MSU","Africa/Maseru","South Africa Standard Time"
"MSV","America/New_York","Eastern Standard Time"
"MSW","Africa/Asmara","E. Africa Standard Time"
"MSX","Africa/Brazzaville","W. Central Africa Standard Time"
"MSY","America/Chicago","Central Standard Time"
"MSZ","Africa/Luanda","W. Central Africa Standard Time"
"MTA","Pacific/Auckland","New Zealand Standard Time"
"MTB","America/Bogota","SA Pacific Standard Time"
"MTC","America/Detroit","Eastern Standard Time"
"MTD","Australia/Darwin","AUS Central Standard Time"
"MTE","America/Santarem","SA Eastern Standard Time"
"MTF","Africa/Addis_Ababa","E. Africa Standard Time"
"MTG","America/Cuiaba","Central Brazilian Standard Time"
"MTH","America/New_York","Eastern Standard Time"
"MTI","Atlantic/Cape_Verde","Cape Verde Standard Time"
"MTJ","America/Denver","Mountain Standard Time"
"MTK","Pacific/Tarawa","UTC+12"
"MTL","Australia/Sydney","AUS Eastern Standard Time"
"MTM","America/Metlakatla","Alaskan Standard Time"
"MTN","America/New_York","Eastern Standard Time"
"MTO","America/Chicago","Central Standard Time"
"MTP","America/New_York","Eastern Standard Time"
"MTQ","Australia/Brisbane","E. Australia Standard Time"
"MTR","America/Bogota","SA Pacific Standard Time"
"MTS","Africa/Mbabane","South Africa Standard Time"
"MTT","America/Mexico_City","Central Standard Time (Mexico)"
"MTU","Africa/Maputo","South Africa Standard Time"
"MTV","Pacific/Efate","Central Pacific Standard Time"
"MTW","America/Chicago","Central Standard Time"
"MTX","America/Anchorage","Alaskan Standard Time"
"MTY","America/Monterrey","Central Standard Time (Mexico)"
"MTZ","Asia/Amman","Jordan Standard Time"
"MUA","Pacific/Guadalcanal","Central Pacific Standard Time"
"MUB","Africa/Gaborone","South Africa Standard Time"
"MUC","Europe/Berlin","W. Europe Standard Time"
"MUD","Africa/Maputo","South Africa Standard Time"
"MUE","Pacific/Honolulu","Hawaiian Standard Time"
"MUF","Asia/Jayapura","Tokyo Standard Time"
"MUG","America/Mazatlan","Mountain Standard Time (Mexico)"
"MUH","Africa/Cairo","Egypt Standard Time"
"MUI","America/New_York","Eastern Standard Time"
"MUJ","Africa/Addis_Ababa","E. Africa Standard Time"
"MUK","Pacific/Rarotonga","Hawaiian Standard Time"
"MUM","Africa/Nairobi","E. Africa Standard Time"
"MUN","America/Caracas","Venezuela Standard Time"
"MUO","America/Boise","Mountain Standard Time"
"MUP","Australia/Darwin","AUS Central Standard Time"
"MUQ","Australia/Perth","W. Australia Standard Time"
"MUR","Asia/Kuching","Singapore Standard Time"
"MUS","Asia/Tokyo","Tokyo Standard Time"
"MUT","America/Chicago","Central Standard Time"
"MUW","Africa/Algiers","W. Central Africa Standard Time"
"MUX","Asia/Karachi","Pakistan Standard Time"
"MUY","Africa/Brazzaville","W. Central Africa Standard Time"
"MUZ","Africa/Dar_es_Salaam","E. Africa Standard Time"
"MVA","Atlantic/Reykjavik","Greenwich Standard Time"
"MVB","Africa/Libreville","W. Central Africa Standard Time"
"MVC","America/Chicago","Central Standard Time"
"MVD","America/Montevideo","Montevideo Standard Time"
"MVE","America/Chicago","Central Standard Time"
"MVF","America/Fortaleza","SA Eastern Standard Time"
"MVK","Australia/Adelaide","Cen. Australia Standard Time"
"MVL","America/New_York","Eastern Standard Time"
"MVM","America/Denver","Mountain Standard Time"
"MVO","Africa/Ndjamena","W. Central Africa Standard Time"
"MVP","America/Bogota","SA Pacific Standard Time"
"MVQ","Europe/Minsk","Belarus Standard Time"
"MVR","Africa/Douala","W. Central Africa Standard Time"
"MVS","America/Bahia","Bahia Standard Time"
"MVT","Pacific/Tahiti","Hawaiian Standard Time"
"MVU","Australia/Brisbane","E. Australia Standard Time"
"MVV","Europe/Paris","Romance Standard Time"
"MVW","America/Los_Angeles","Pacific Standard Time"
"MVX","Africa/Libreville","W. Central Africa Standard Time"
"MVY","America/New_York","Eastern Standard Time"
"MVZ","Africa/Harare","South Africa Standard Time"
"MWA","America/Chicago","Central Standard Time"
"MWB","Australia/Perth","W. Australia Standard Time"
"MWC","America/Chicago","Central Standard Time"
"MWD","Asia/Karachi","Pakistan Standard Time"
"MWE","Africa/Khartoum","Sudan Standard Time"
"MWF","Pacific/Efate","Central Pacific Standard Time"
"MWG","Pacific/Port_Moresby","West Pacific Standard Time"
"MWH","America/Los_Angeles","Pacific Standard Time"
"MWI","Pacific/Port_Moresby","West Pacific Standard Time"
"MWJ","America/Guyana","SA Western Standard Time"
"MWK","Asia/Jakarta","SE Asia Standard Time"
"MWL","America/Chicago","Central Standard Time"
"MWN","Africa/Dar_es_Salaam","E. Africa Standard Time"
"MWO","America/New_York","Eastern Standard Time"
"MWQ","Asia/Yangon","Myanmar Standard Time"
"MWR","Africa/Johannesburg","South Africa Standard Time"
"MWT","Australia/Adelaide","Cen. Australia Standard Time"
"MWU","Pacific/Port_Moresby","West Pacific Standard Time"
"MWV","Asia/Phnom_Penh","SE Asia Standard Time"
"MWX","Asia/Seoul","Korea Standard Time"
"MWY","Australia/Brisbane","E. Australia Standard Time"
"MWZ","Africa/Dar_es_Salaam","E. Africa Standard Time"
"MXA","America/Chicago","Central Standard Time"
"MXB","Asia/Makassar","Singapore Standard Time"
"MXC","America/Denver","Mountain Standard Time"
"MXD","Australia/Brisbane","E. Australia Standard Time"
"MXE","America/New_York","Eastern Standard Time"
"MXF","America/Chicago","Central Standard Time"
"MXH","Pacific/Port_Moresby","West Pacific Standard Time"
"MXI","Asia/Manila","Singapore Standard Time"
"MXJ","Africa/Lagos","W. Central Africa Standard Time"
"MXK","Pacific/Port_Moresby","West Pacific Standard Time"
"MXL","America/Tijuana","Pacific Standard Time (Mexico)"
"MXM","Indian/Antananarivo","E. Africa Standard Time"
"MXN","Europe/Paris","Romance Standard Time"
"MXP","Europe/Rome","W. Europe Standard Time"
"MXQ","America/Bahia","Bahia Standard Time"
"MXR","Europe/Kiev","FLE Standard Time"
"MXS","Pacific/Apia","Samoa Standard Time"
"MXT","Indian/Antananarivo","E. Africa Standard Time"
"MXU","Australia/Perth","W. Australia Standard Time"
"MXV","Asia/Ulaanbaatar","Ulaanbaatar Standard Time"
"MXW","Asia/Ulaanbaatar","Ulaanbaatar Standard Time"
"MXX","Europe/Stockholm","W. Europe Standard Time"
"MXY","America/Anchorage","Alaskan Standard Time"
"MXZ","Asia/Shanghai","China Standard Time"
"MYA","Australia/Sydney","AUS Eastern Standard Time"
"MYB","Africa/Libreville","W. Central Africa Standard Time"
"MYC","America/Caracas","Venezuela Standard Time"
"MYD","Africa/Nairobi","E. Africa Standard Time"
"MYE","Asia/Tokyo","Tokyo Standard Time"
"MYF","America/Los_Angeles","Pacific Standard Time"
"MYG","America/Nassau","Eastern Standard Time"
"MYI","Australia/Brisbane","E. Australia Standard Time"
"MYJ","Asia/Tokyo","Tokyo Standard Time"
"MYK","America/Anchorage","Alaskan Standard Time"
"MYL","America/Boise","Mountain Standard Time"
"MYM","America/Guyana","SA Western Standard Time"
"MYN","Asia/Aden","Arab Standard Time"
"MYO","Australia/Perth","W. Australia Standard Time"
"MYP","Asia/Ashgabat","West Asia Standard Time"
"MYQ","Asia/Kolkata","India Standard Time"
"MYR","America/New_York","Eastern Standard Time"
"MYS","Africa/Addis_Ababa","E. Africa Standard Time"
"MYT","Asia/Yangon","Myanmar Standard Time"
